,review
0,"오늘은 가을이 되었는데도 떨어지지 않는 기운 때문에 무더위를 시키면 몸보신을 하기 위해 오리고기를 먹으러 왔어요 용인시장 근처에 있는 오리고기집인데 돌판으로 되어 있고 신발을 벗고 들어가는 가게라 아기와 함께 가기도 아주 좋은 곳이에요 매장은 마치 실내 캠핑장처럼 잘 꾸며져 있어요 건강에 좋은 오리고기를 이렇게 분위기 좋은 곳에서 먹을 수 있다는게 아주 좋았고 돌판도 너무 매력적이었어요 요즘 너무 숯불에 구워 먹기만 하니까 좀 힘들었거든요 돌판구이에 부침개까지 서비스로 주시는데 너무 좋은 곳이라고 생각해요 반찬들은 모두 무한 리필이고 굉장히 맛도 있어요 저는 오늘부터 이 가게 단골이에요 여러분들께도 강력 추천하니 한 번쯤 방문해 보세요 강추
더보기"
1,"대장금파크, 자작나무숲 보고 돌아오는 길 들른 곳! 용인 맛집이라고 나왔는데 역시 진짜였네요. 재료가 하나하나 신선하고 음식 하나하나 맛있는 곳이어서 반찬 남기기가 아까울정도였어요! 특히 오리는 잡내 없이 신선했고, 반찬중 대파김치 짱! 너무 만족스러운 식사였습니다♡"
2,"가게 분위기가 힙하고 트렌디한 인테리어라 캠핑에 온 느낌도 물씬 느낄수 있어서 친구나 커플,가족끼리 같이 와도 좋을꺼 같고 BAR가 있어서 다양한 주류를 취향껏 마실 수 있고 테이블갯수가 많아 단체,모임,회식장소로도 추천하고 싶어요~!
오리고기도 100% 국내산 생오리 사용으로 하루에 15마리만 판매해서 그런지 상태도 좋아요!
사장님도 친절하시고 기본반찬도 푸짐하게 나와서 다시 방문하고 싶은 가게에요~
더보기"
3,"국내산 1등급 생오리고기를 사용하신다고 되어있었는데 정말 싱싱그자체더라구요🥹💗
선홍빛의 고기가 돌판에 지글지글 구워지는데 잡내하나없이 너무 맛있게 잘먹었어요!
함흥비빔냉면은 기대이상으로 맛있어서 오리고기랑 정말 잘 어울리더라구요 ㅎㅎ
볶음밥은 역시 오리고기의 필수코스죠~? 맨마지막에 볶아먹었는데 소금간을 조금더해서 먹으니 딱 맞았어오😊💕
더보기"
4,"오리돌판구이 처음 먹어봤는데 너무 맛있었어요!! 약간 캠핑와서 먹는느낌도 들어서 이색적이고, 오리고기 잡내도 없고 깔끔해서 너무 좋았어요!! 서비스로 주신 부추전.. 진짜 역대급 ㅠ너무 맛있게 먹었어요!!! 서비스로 부추전이라니..🥹진짜 감동이에요 그리구 셀프바에 있는 된장찌개 완전 엄마가 해준 집된찌 느낌이라 더 좋았습니다 다음에 또 올게요 사장님~!!👍🤩"
5,"맛있게 잘먹었어요! 아이들이랑 같이 방문했는데 두부, 당근, 감자,떡까지 나와서 골고루 먹을 수 있어 좋았습니다 :) 나중에 볶음밥까지 먹었는데 초등아이도 잘 먹었어요 !! ~ 다음에는 양념오리고기 먹으러 방문해야겠어요 :)"
6,"신선한 오리로스구이를 분위기 좋은 곳에서 즐길 수 있었어요
캠핑장 느낌나고 뭔가 힙한 분위기라 술이 쭉쭉 들어갈듯🤔
셀프바에서 부추나 버섯도 잔뜩 더 넣어서 볶아먹을 수 있는데 부모님 모시고 방문해도 만족하실 것 같은 느낌🥰
돌판에 구워서 그런지 기름도 잘 빠지는데 진짜 배불리 먹었어요
화룡점정은 역시 볶음밥인데 안시켜먹을수없음😋
더보기"
7,"오리고기 신선하고 너무 맛있었어요 ! 🩷🩷 나오는 반찬, 셀프바에 있는 음식들이랑 잔치국수도 다 맛있었고 캠핑 온 느낌으로 완전 즐겁게 먹을 수 있었어요 !! 자리도 낙낙하고 분위기도 좋아요! 그리고 아이스박술로 먹었는데 시원하고 안움직이고 자리에서 미리 갖다놓고 먹으니까 굿굿 ❤️ 자주 갈듯해요 !!! 번창하세용"
8,하루에 15마리만 판매하는 찐 생 오리구이네요 정말 부드럽고 잡내는 1도 없고 너무 맛있어요! 오리구이 먹어보고 너무 고기 질이 좋아서 삼겹살도 먹어보았는데요 삼겹살도 찐입니다 ㅎㅎ 캠핑장같은 분위기도 너무 재밌었어요
9,전도 서비스로 나오고 맛도 괜찮음 초행에 찾기가 좀 어려울 수 있습니다만 건물 계단 진입하면 보임. 주차는 근처 가능.
